cohort_id,cohort_label,registry_or_source,cohort_n_studies,total_unique_patients,study_id,first_author,pub_year,primary_for_cohort,cohort_overlap_status,overlap_with_study_ids
1047,PALG_Polish_registry,multicenter_collaboration,3,145,123,Dybko J,2023,partial,partial_overlap,122
1047,PALG_Polish_registry,multicenter_collaboration,3,145,124,Dybko J,2024,partial,partial_overlap,"122,123"
1002,BMT_CTN_1703,multicenter_collaboration,2,431,2,Bolanos-Meade J,2023,Y,none,NA
1002,BMT_CTN_1703,multicenter_collaboration,2,431,12,Abedin S,2025,N,overlap_subset_of,"2,13"
1004,Moffitt_Khimani_Ranspach,single_center,2,583,5,Khimani F,2021,Y,none,NA
1004,Moffitt_Khimani_Ranspach,single_center,2,583,16,Adoncecchi G,2025,N,overlap_subset_of,Khimani 2021 (Moffitt cohort 1004 primary)
1007,Pavlov_StPetersburg_RCT,single_center,2,211,7,Moiseev IS,2016,Y,none,NA
1007,Pavlov_StPetersburg_RCT,single_center,2,211,438,Moiseev IS,2018,partial,overlap_superset_of,7
1016,DRST_German_registry,national_registry,2,7537,35,Arslan,2024,Y,partial_overlap,33
1016,DRST_German_registry,national_registry,2,7537,142,Gantner,2026,partial,partial_overlap,33
1020,GETH_TC_Spanish_multicenter,multicenter_collaboration,2,229,208,Kwon M,2017,N,overlap_subset_of,209
1020,GETH_TC_Spanish_multicenter,multicenter_collaboration,2,229,44,Bailen R,2022,Y,none,NR
1022,Mayo_Rochester_Baranwal,single_center,2,500,48,Baranwal,2025,Y,none,NA
1022,Mayo_Rochester_Baranwal,single_center,2,500,424,Hassan K,2025,partial,overlap_subset_of,48
1036,SanRaffaele_Milan_MAP_PTCy,single_center,2,473,461,Xue E,2022,partial,partial_overlap,97
1036,SanRaffaele_Milan_MAP_PTCy,single_center,2,473,97,Chiurlo M,2025,Y,none,NA
1038,Chorao_Portuguese_single_center,single_center,2,366,100,Chorao,2024,Y,none,NR
1038,Chorao_Portuguese_single_center,single_center,2,366,347,Sanz MA,2024,N,overlap_superset_of,cohort_1038_Chorao_2017_2022_subset
1042,PMH_CIBMTR_MUD_acute_leukemia_FtoM,multicenter_collaboration,2,861,109,Desai N,2025,Y,partial_overlap,1013;1008
1042,PMH_CIBMTR_MUD_acute_leukemia_FtoM,multicenter_collaboration,2,861,416,Desai N,2026,partial,partial_overlap,109; 415
1064,JDCHCT_TRUMP2_UCBT_vs_PTCyHaplo,national_registry,2,7499,368,Sugita J,2022,Y,none,NA
1064,JDCHCT_TRUMP2_UCBT_vs_PTCyHaplo,national_registry,2,7499,170,Harada K,2025,Y,partial_overlap,171
1068,Shanghai_General_older_myeloid_lowATGPTCy,single_center,2,127,460,Xu X,2021,partial,overlap_subset_of,184
1068,Shanghai_General_older_myeloid_lowATGPTCy,single_center,2,127,184,Jia Y,2025,Y,partial_overlap,Shanghai General prior publications (Yang 2019 BMT; Xu 2021 BMT; Li 2023 Front Immunol) on younger patients with same low-dose ATG/PTCy regimen
1070,JSTCT_TRUMP_ALL_PTCyHaplo_UCB,JSHCT,2,1999,187,Jo T,2024,Y,partial_overlap,Sugita 2022 BMT; Wada 2022 Transplantation
1070,JSTCT_TRUMP_ALL_PTCyHaplo_UCB,JSHCT,2,1999,290,Jo T,2024,Y,partial_overlap,289
1086,Hamburg_Massoud_single_center,single_center,2,599,236,Massoud R,2022,Y,none,NA
1086,Hamburg_Massoud_single_center,single_center,2,599,366,Steiner N,2024,partial,partial_overlap,Massoud_2022_ref51
1092,CIBMTR_ALL_Wieduwilt_dataset,CIBMTR,2,1286,391,Wieduwilt,2022,Y,none,NR
1092,CIBMTR_ALL_Wieduwilt_dataset,CIBMTR,2,1286,245,Mehta RS,2023,Y,partial_overlap,Wieduwilt 2022 Blood Adv
1127,SantPau_Barcelona_Redondo_HLAmatched,single_center,2,226,321,Redondo S,2024,Y,partial_overlap,"Redondo 2023 EJH (ref 20, TBI MAC PTCy subset); possibly Garcia-Cadenas 2020 BMT (ref 18)"
1127,SantPau_Barcelona_Redondo_HLAmatched,single_center,2,226,446,Redondo S,2025,partial,partial_overlap,321
1138,Ankara_3center_MMUD_PTCy_vs_MRD,multicenter_collaboration,2,90,348,Sayin S,2024,Y,partial_overlap,349
1138,Ankara_3center_MMUD_PTCy_vs_MRD,multicenter_collaboration,2,90,408,Yildirim M,2024,Y,none,NA
1153,PekingU_Soochow_Nanfang_MD_CRD_haplo_ATG_PTCy,multicenter_collaboration,2,239,455,Wang Y,2017,N,overlap_subset_of,390
1153,PekingU_Soochow_Nanfang_MD_CRD_haplo_ATG_PTCy,multicenter_collaboration,2,239,390,Wang Y,2019,Y,overlap_superset_of,Wang_2017_Oncoimmunology_40pts_subset
