"study_id","arm_id","arm_label_in_paper","arm_role","comparison_1_eligible","comparison_2_eligible","comparison_3_eligible","n_patients","age_median_years","pct_male","disease_aml_pct","disease_all_pct","disease_mds_pct","disease_risk_high_pct","donor_haplo_pct","donor_msd_pct","donor_mud_pct","donor_predominant","graft_predominant","conditioning_mac_pct","conditioning_ric_pct","conditioning_predominant","ptcy_used","ptcy_dose_mg_kg_per_dose","ptcy_total_dose_mg_kg","cni_agent","mmf_used","mtx_used","sirolimus_used","atg_used","atg_agent","atg_total_dose_mg_kg","cmv_recipient_pos_pct","systemic_steroid_for_gvhd_exposure_pct","first_author","pub_year"
77,90,"Haplo PTCy","PTCy_arm","Y","N","N",199,"51.9","54.3","100","0","0","28.6","100","0","0","haplo","mixed","53.5","40.9","MAC","Y","NR","NR","NR","NR","NR","NR","N","","","79.6","28.2","Brissot E",2019
79,96,"ATG","comparator_arm","N","Y","N",37,"64.3","70.3","45.9","5.4","21.6","NR","0","40.5","59.5","MUD","PBSC","0","100","RIC","N","","","cyclosporine","Y","N","N","Y","rabbit_thymoglobulin","5","47.2","24.3","Brissot E",2024
79,95,"PTCy","PTCy_arm","N","Y","N",44,"64.4","68.2","47.7","4.5","18.2","NR","0","38.6","61.4","MUD","PBSC","0","100","RIC","Y","50","100","cyclosporine","Y","N","N","N","","","56.8","36.4","Brissot E",2024
80,98,"CsA/MPA","comparator_arm","N","N","N",52,"58","63.5","26.9","13.5","15.4","NR","0","32.7","67.3","MUD","PBSC","3.8","1.9","NMA","N","","","cyclosporine","Y","N","N","N","","","NR","48","Broers AEC",2022
80,97,"PT-Cy/CsA","PTCy_arm","N","N","N",99,"57","66.7","30.3","10.1","8.1","NR","0","30.3","69.7","MUD","PBSC","0","1","NMA","Y","50","100","cyclosporine","N","N","N","N","","","NR","30","Broers AEC",2022
83,99,"Standard aGVHD prophylaxis (calcineurin inhibitor-based)","comparator_arm","N","N","N",89,"6","43.8","0","0","0","NR","7.9","16.9","NR","MUD","BM","20.2","80.9","RIC","N","","","NR","NR","NR","NR","NR","NR","NR","NR","NR","Bykova TA",2018
83,100,"Post-transplant Cy-based prophylaxis (PtCy 50 mg/kg D+3, D+4)","PTCy_arm","N","N","N",29,"3.6","65.5","0","0","0","NR","37.9","13.8","NR","mixed","BM","51.7","44.8","mixed","Y","50","100","NR","NR","NR","NR","NR","NR","NR","NR","26","Bykova TA",2018
86,102,"ATG MMUD","comparator_arm","Y","Y","N",37,"54","41","NR","NR","27","NR","0","0","0","MMUD","PBSC","22","78","RIC","N","","","tacrolimus","N","Y","N","Y","rabbit_thymoglobulin","5-7.5","92","32","Camargo JF",2021
86,101,"PTCy MMUD","PTCy_arm","Y","Y","N",22,"60","41","NR","NR","14","NR","0","0","0","MMUD","BM","14","86","RIC","Y","50","100","mixed","Y","N","Y","N","","","91","18","Camargo JF",2021
86,103,"PTCy haploidentical","PTCy_arm","N","N","N",19,"48","53","NR","NR","11","NR","100","0","0","haplo","PBSC","5","95","RIC","Y","50","100","mixed","Y","N","Y","N","","","79","37","Camargo JF",2021
88,105,"ATG group (control)","comparator_arm","Y","N","N",40,"43","50","80","0","20","62.5","100","0","0","haplo","mixed","100","0","MAC","N","","","cyclosporine","Y","Y","N","Y","rabbit_thymoglobulin","10","NR","39.8","Cao J",2022
88,104,"Modified ATG-PTCy group","PTCy_arm","Y","N","N",40,"46","47.5","85","0","15","72.5","100","0","0","haplo","PBSC","100","0","MAC","Y","50","50","cyclosporine","Y","N","N","Y","rabbit_thymoglobulin","7.5","NR","15","Cao J",2022
89,108,"ATG-based (no PTCy)","comparator_arm","Y","N","N",121,"NR","NR","NR","NR","NR","NR","NR","NR","NR","mixed","PBSC","NR","NR","mixed","N","","","NR","NR","NR","NR","Y","rabbit_thymoglobulin","NR","NR","NR","Carreira",2022
89,109,"Other GVHD prophylaxis (no PTCy)","comparator_arm","Y","N","N",83,"NR","NR","NR","NR","NR","NR","NR","NR","NR","mixed","PBSC","NR","NR","mixed","N","","","NR","NR","NR","NR","N","","","NR","NR","Carreira",2022
89,106,"PTCy-ATG-CsA","PTCy_arm","Y","N","N",434,"NR","NR","NR","NR","NR","NR","NR","NR","NR","mixed","PBSC","NR","NR","RIC","Y","50","NR","cyclosporine","N","N","N","Y","rabbit_thymoglobulin","4.5","NR","NR","Carreira",2022
89,107,"PTCy-based (no ATG)","PTCy_arm","Y","N","N",13,"NR","NR","NR","NR","NR","NR","NR","NR","NR","mixed","PBSC","NR","NR","mixed","Y","50","NR","NR","NR","NR","NR","N","","","NR","NR","Carreira",2022
94,111,"ATG","comparator_arm","N","N","N",751,"60.1","64","22.6","0","77.4","47.4","0","0","74.6","MUD","PBSC","38.9","61.1","RIC","N","","","NR","Y","Y","NR","Y","mixed","NR","69.2","30","Chalandon Y",2024
94,110,"PTCY","PTCy_arm","N","N","N",209,"57.1","58.4","19.4","0","80.6","57.3","0","0","53.6","MUD","PBSC","55.8","44.2","MAC","Y","NR","NR","NR","Y","N","NR","N","","","77.7","23","Chalandon Y",2024
97,112,"Allo-HSCT-r receiving PT-Cy (first transplant, PT-Cy-based GVHD prophylaxis subset)","PTCy_arm","N","N","N",473,"NR","NR","NR","NR","NR","NR","NR","NR","NR","mixed","PBSC","NR","NR","mixed","Y","50","100","","Y","N","Y","N","","","NR","NR","Chiurlo M",2025
99,114,"ATG","comparator_arm","N","Y","N",427,"58","NR","0","0","0","NR","0","28","72","MUD","NR","21","79","RIC","N","","","cyclosporine","mixed","mixed","N","Y","mixed","NR","NR","30","Chiusolo",2026
99,113,"PTCy","PTCy_arm","N","Y","N",112,"60","NR","0","0","0","NR","0","38","62","MUD","NR","47","53","mixed","Y","50","100","cyclosporine","mixed","mixed","N","N","","","NR","27","Chiusolo",2026
100,115,"MSD","comparator_arm","N","N","Y",160,"54","58","53","13","NR","28","0","100","0","MSD","PBSC","34","66","RIC","Y","NR","NR","","Y","N","Y","N","","","83","19","Chorao",2024
100,116,"MUD","PTCy_arm","N","N","Y",124,"52","57","47","15","NR","44","0","0","100","MUD","PBSC","49","51","mixed","Y","NR","NR","","Y","N","Y","N","","","78","9.8","Chorao",2024
100,117,"Haplo","PTCy_arm","N","N","Y",82,"57","63","49","12","NR","31","100","0","0","haplo","PBSC","32","68","RIC","Y","NR","NR","","Y","N","Y","N","","","81","28","Chorao",2024
104,119,"Standard GVHD prophylaxis: tacrolimus + MTX +/- ATG (Jan 2014-Apr 2016)","comparator_arm","Y","N","N",41,"55","39","46.3","26.3","14.6","0","0","29.3","46.3","MUD","PBSC","78","22","MAC","N","","","tacrolimus","mixed","Y","N","mixed","NR","NR","46.3","NR","Cooper DL",2021
104,118,"PTCy, tacrolimus, MMF (Apr 2016-Apr 2018)","PTCy_arm","Y","N","N",49,"54","53.1","59.2","16.3","10.2","16.3","0","26.5","67.3","MUD","PBSC","56.7","43.3","MAC","Y","NR","NR","tacrolimus","Y","N","N","N","","","59.2","NR","Cooper DL",2021
105,121,"Standard prophylaxis (cyclosporin + methotrexate)","comparator_arm","Y","N","N",68,"56.2","54","65","15","21","29","0","100","0","MSD","PBSC","43","57","RIC","N","","","cyclosporine","N","Y","N","N","","","68","NR","Curtis DJ",2025
105,120,"Experimental prophylaxis (PTCy + cyclosporin)","PTCy_arm","Y","N","N",66,"55.3","56","58","30","12","27","0","100","0","MSD","PBSC","45","55","RIC","Y","50","100","cyclosporine","N","N","N","N","","","65","NR","Curtis DJ",2025
107,123,"ATG","comparator_arm","N","Y","N",64,"NR","NR","NR","NR","NR","NR","0","0","100","MUD","PBSC","0","100","RIC","N","","","cyclosporine","N","N","N","Y","rabbit_thymoglobulin","5","NR","45","Dachy",2023
107,122,"PT-Cy","PTCy_arm","N","Y","N",30,"NR","NR","NR","NR","NR","NR","0","0","100","MUD","PBSC","13","17","NMA","Y","50","100","cyclosporine","Y","N","N","N","","","NR","23","Dachy",2023
109,125,"CIBMTR CNI-MTX/MMF cohort (entire)","comparator_arm","N","Y","N",520,"59","54","79","21","0","NR","0","0","100","MUD","PBSC","48","52","mixed","N","","","mixed","mixed","mixed","N","N","","","NR","NR","Desai N",2025
110,127,"Others (No PTCy)","comparator_arm","Y","N","N",22,"61","64","0","0","0","NR","0","59","27","MSD","PBSC","40","60","RIC","N","","","NR","mixed","mixed","N","mixed","rabbit_thymoglobulin","NR","NR","54.5","Desai N",2025
111,128,"Group I: CNI-MTX (or MMF)","comparator_arm","Y","N","N",210,"55","51.9","55.2","11.9","14.3","38.6","0","100","0","MSD","PBSC","61","39","MAC","N","","","NR","mixed","mixed","N","N","","","75.7","40.6","Desai N",2025
111,129,"Group II: ATG-CNI-MTX (or MMF)","comparator_arm","Y","Y","N",34,"58","61.8","47.1","17.6","14.7","26.5","0","100","0","MSD","PBSC","47.1","52.9","RIC","N","","","NR","mixed","mixed","N","Y","rabbit_thymoglobulin","2","79.4","30.6","Desai N",2025
