study_id,cohort_id,first_author,pub_year,journal,doi,pmid,paperpile_filename,title,country,region,study_design,single_or_multicenter,n_centers,enrollment_start_year,enrollment_end_year,era_category,follow_up_median_months,follow_up_min_months,follow_up_max_months,primary_for_cohort,cohort_overlap_status,overlap_with_study_ids,language,full_text_obtainable,author_contact_attempted,author_response_received,extractor_initials,verifier_initials,extraction_date,verification_date,extraction_notes
14,1010,Abid MB,2020,Biology of Blood and Marrow Transplantation,10.1016/j.bbmt.2020.06.006,NR,Abid MB et al. 2020 - Severity of Cytokine Release Syndrome and Its Association with Infections after T Cell-Replete Haploidentical Related Donor Transplantation.pdf,Severity of Cytokine Release Syndrome and Its Association with Infections after T Cell-Replete Haploidentical Related Donor Transplantation,USA,NA,single_arm_descriptive_excluded,single,1,2012,2018,mixed,NR,NR,6,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Single-arm descriptive study: all 78 patients received uniform PTCy-Tac-MMF haploHCT. Stratification is by CRS severity (grade 0-1 vs grade 2 vs grade 3), NOT by GVHD prophylaxis platform. No non-PTCy comparator arm. Per spec, study_design = single_arm_descriptive_excluded; outcomes NOT extracted (protocol-excluded but tracked for PRISMA). Follow-up censored at day +180 (6 months)."
16,1004,Adoncecchi G,2025,Cancers,10.3390/cancers17020310,NR,Adoncecchi G et al. 2025 - Comparison of Outcomes of Haploidentical Peri ... ith Post-Transplant Cyclophosphamide in Older Versus Younger Patients.pdf,Comparison of Outcomes of Haploidentical Peripheral Blood Stem Cell Transplantation with Post-Transplant Cyclophosphamide in Older Versus Younger Patients,USA,NA,single_arm_descriptive_excluded,single,1,2014,2019,mixed,11,NR,NR,N,overlap_subset_of,Khimani 2021 (Moffitt cohort 1004 primary),English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Paper compares haplo PBSCT+PTCy outcomes in older (>=60) vs younger (<60) patients at Moffitt Cancer Center. Both groups received the same regimen (haplo PBSCT + PTCy), so this is NOT a within-PTCy donor variants (Comparison 3) comparison nor any other eligible PTCy-vs-comparator comparison. Comparator is a demographic variable (age), not a treatment variable. Per spec rule for single_arm_descriptive_excluded (no comparator arm, no PTCy contrast) - tracked for PRISMA but no outcomes extracted. Note: prompt referenced a haplo-vs-MUD title but only the older-vs-younger Adoncecchi 2025 paper exists in the Paperpile corpus. Cohort = Moffitt (1004); Khimani 2021 is primary for cohort. This paper is a subset (haplo PBSCT only, n=121) with enrollment 2014-2019 (overlaps cohort enrollment window 2012-2018; extended through 2019)."
19,1011,Ahmed S,2019,Biology of Blood and Marrow Transplantation,10.1016/j.bbmt.2019.05.025,NR,Ahmed S et al. 2019 - Lower Graft-versus-Host Disease and Relapse Risk in Post-Transplant Cyclophosphamide-Based Haploidentical versus Matched Sibling Donor Reduced-Intensity Conditioning Transplant for Hodgkin Lymphoma.pdf,Lower Graft-versus-Host Disease and Relapse Risk in Post-Transplant Cyclophosphamide-Based Haploidentical versus Matched Sibling Donor Reduced-Intensity Conditioning Transplant for Hodgkin Lymphoma,multinational,multinational,registry,registry,175,2008,2016,pre_2018,NR,2,109,Y,partial_overlap,Kanate 2016 Blood; Ghosh 2016 JCO (CIBMTR lymphoma 2008-2013 subsets),English,Y,N,NA,RL,PEND,2026-05-26,PEND,"CIBMTR registry, cHL only, 131 MSD centers + 44 haplo centers. Median FU 52 mo (MSD) and 37 mo (haplo). Only haplo arm uses PTCy; MSD arm is CNI-based (no PTCy)."
20,1012,Ahn J,2025,Transplantation and Cellular Therapy,10.1016/j.jtct.2025.05.017,NR,Ahn J et al. 2025 - Feasibility of a Total Body Irradiation-Augmented Re ... antation Cyclophosphamide Combination for Haploidentical Donor T[...].pdf,Feasibility of a Total Body Irradiation-Augmented Reduced-Toxicity Conditioning Regimen with an Antithymocyte Globulin/Post-Transplantation Cyclophosphamide Combination for Haploidentical Donor Transplantation in Adult Acute Lymphoblastic Leukemia,Korea,Asia,retrospective_cohort,single,1,2017,2023,mixed,14.1,NR,NR,Y,partial_overlap,21,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Retrospective comparative cohort study: FMTBI+ATG/PTCy (n=26) vs FB+ATG historical control (n=52). All haplo HCT in adult ALL. The comparator arm (FB) received ATG-only GVHD prophylaxis (no PTCy), so this IS a PTCy vs non-PTCy comparison and is eligible for the MA. Note: total cohort follow-up was 36.3 months; FMTBI group follow-up was only 14.1 months (recorded here as median). Likely overlaps with Ahn J 2024 BMT (study_id 21) — same single-center cohort. Conditioning intensity score (TCI) was 2.5 (reduced toxicity) for both arms."
24,1013,Alanazi W,2021,Acta Haematologica,10.1159/000507536,NR,Alanazi W et al. 2021 - Post-Transplant Cyclophosphamide Combined with A ... topoietic Cell Transplantation in High-Risk Acute Myeloid Leukem[...].pdf,Post-Transplant Cyclophosphamide Combined with Anti-Thymocyte Globulin as Graft-versus-Host Disease Prophylaxis for Allogeneic Hematopoietic Cell Transplantation in High-Risk Acute Myeloid Leukemia and Myelodysplastic Syndrome,Canada,NA,retrospective_cohort,single,1,2014,2017,pre_2018,29,14,56,Y,partial_overlap,"Possible overlap with Prem 2019, Deotare 2018, Law 2018, Salas 2019 (all Princess Margaret).",English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Retrospective single-center comparison of ATG+PTCy vs heterogeneous other prophylaxis (alemtuzumab+CsA, MMF+CsA, MTX+CsA, ATG+CsA+MTX, ATG-only). Comparator arm is heterogeneous; some other-arm patients also received ATG (5 ATG+CsA+MTX and 1 ATG 7.5 mg/kg = 6/90). Includes 120 AML + 39 MDS."
26,1014,Alousi,2015,Biology of Blood and Marrow Transplantation,10.1016/j.bbmt.2015.01.026,NR,Alousi AM et al. 2015 - Phase II Trial of Graft-versus-Host Disease Prop ... ty Busulfan - Fludarabine Conditioning for Hematological Malignancies.pdf,Phase II Trial of Graft-versus-Host Disease Prophylaxis with Post-Transplantation Cyclophosphamide after Reduced-Intensity Busulfan/Fludarabine Conditioning for Hematological Malignancies,USA,NA,prospective_cohort,single,1,2008,2011,pre_2018,32,24,43,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,Phase II single-arm trial of PTCy as sole GVHD prophylaxis after RIC Bu/Flu (n=49). Paper includes contemporaneous matched cohort analysis using institutional database controls receiving Tac/MTX (n=37 matched controls vs n=37 matched PTCy subset). Both arms extracted. Note: matched analysis uses 37/49 PTCy patients; full N=49 PTCy data also reported for safety endpoints. Used 'matched subset' (n=37) for PTCy arm characteristics to enable apples-to-apples HR comparison with Tac/MTX (n=37). Trial used Bu/Flu RIC; Tac/MTX controls used Bu/Flu (n=15) or Flu/Mel (n=22).
32,1015,Arora S,2026,Indian Journal of Hematology and Blood Transfusion,10.1007/s12288-025-02013-y,NR,Arora S et al. 2026 - Use of Post-Transplant Cyclophosphamide in Matched ... Hematopoietic Stem Cell Transplant for Benign Hematological Disorders.pdf,Use of Post-Transplant Cyclophosphamide in Matched Related and Unrelated Donor Hematopoietic Stem Cell Transplant for Benign Hematological Disorders,India,Asia,single_arm_descriptive_excluded,single,1,2022,2024,post_2018,15.5,2.8,26.5,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Single-arm descriptive pediatric series (N=16) of PTCy + CsA + MMF in matched related/unrelated PBSC HSCT for benign hematological disorders (thalassemia, SAA, CDA). NO comparator arm. Protocol-excluded per spec (study_design = single_arm_descriptive_excluded). Tracked for PRISMA. Median follow-up 473 days (range 85-808). 1-yr EFS 81.25%, 1-yr OS 93.7%. Acute GVHD grade I-II in 3 patients (20%); no chronic GVHD; no grade III-IV aGVHD reported. CMV reactivation 8/16. Conditioning: RTC/RIC regimens with ATG + thiotepa/treosulfan/cyclophosphamide + low-dose TBI. No outcomes rows or arms rows extracted per single_arm_descriptive_excluded rule."
35,1016,Arslan,2024,Blood Advances,10.1182/bloodadvances.2024013719,NR,Arslan et al. 2024 - Outcomes of haploidentical transplants with PT-CY vs 10 - 10 MUD transplants with ATG in Germany.pdf,Outcomes of haploidentical transplants with PT-CY vs 10/10 MUD transplants with ATG in Germany,Germany,EU,registry,registry,55,2010,2020,mixed,NR,NR,NR,Y,partial_overlap,33,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"DRST (German Registry for Stem Cell Transplantation), subset of EBMT database. Compares Haplo+PTCy (n=487) vs 10/10 MUD+ATG (n=7050). All hematologic malignancies (not myeloid-only as prompt suggested). MUD arm receives ATG by definition; Haplo arm receives PT-CY. CNI+MMF predominant in Haplo (89.5%); CNI+MTX predominant in MUD (35.9%) with CNI+MMF also used (51.4%). Possible overlap with Arslan 2023 (study 33) - same DRST registry."
37,1017,Ashouri K,2024,Transplantation Proceedings,10.1016/j.transproceed.2024.08.004,NR,Ashouri K. et al. 2024 - Graft Versus Host Disease Prophylaxis in Matche ... tation Cyclophosphamide Combinations Versus Methotrexate - Tacrolimus.pdf,Graft Versus Host Disease Prophylaxis in Matched Donor Stem Cell Transplantation: Post-transplantation Cyclophosphamide Combinations Versus Methotrexate/Tacrolimus,USA,NA,retrospective_cohort,single,1,2015,2023,mixed,NR,NR,NR,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,Full paper in Transplantation Proceedings. Mixed MSD/MUD population (not pure MRD). Three arms; PTCy-alone arm small (n=9). Abstract says enrollment 2015-2023; Methods text says 2015-2022.
39,1018,Aydin M,2023,British Journal of Haematology,10.1111/bjh.19031,NR,Aydin M et al. 2023 - ATG versus PTCy in matched unrelated donor haematopoietic stem cell transplantations with non-myeloablative conditioning.pdf,ATG versus PTCy in matched unrelated donor haematopoietic stem cell transplantations with non-myeloablative conditioning,Netherlands,EU,retrospective_cohort,single,2,2014,2021,mixed,NR,12,103,partial,partial_overlap,40,English,Y,N,NA,RL,PEND,2026-05-26,PEND,Two Amsterdam centers (AMC + VUMC) which subsequently merged into one center; treated as single-center. Median follow-up: ATG 46 months (15-103); PTCy 36 months (12-92). All NMC. All 10/10 MUD. GvHD graded by updated Seattle criteria. Primary outcome was aGVHD II-IV; chronic GvHD reported as moderate/severe at 3 years.
43,1019,Bailen,2021,Annals of Hematology,10.1007/s00277-020-04317-7,NR,Bailén R et al. 2021 - Post-transplant cyclophosphamide for GVHD prophylaxis compared to ATG-based prophylaxis in unrelated donor transplantation.pdf,Post-transplant cyclophosphamide for GVHD prophylaxis compared to ATG-based prophylaxis in unrelated donor transplantation,Spain,EU,retrospective_cohort,multi,4,2010,2018,mixed,NR,6,125,Y,partial_overlap,42;44,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Median follow-up reported per arm: ATG 78 mo (range 12-125), PTCy 26 mo (range 6-65). Multicenter GETH study covering 4 Spanish centers (Madrid, Malaga, Barcelona/Badalona, Valencia). Likely cohort overlap with Bailen 2019 (Madrid single-center) and Bailen 2022 (GETH AML). PTCy group enrolled 2013-2018; ATG group 2010-2018."
44,1020,Bailen R,2022,Transplantation and Cellular Therapy,10.1016/j.jtct.2022.01.020,NR,Bailén R et al. 2022 - Post-Transplantation Cyclophosphamide After HLA Identical Compared to Haploidentical Donor Transplant in Acute Myeloid Leukemia - A Study on Behalf of GETH-TC.pdf,Post-Transplantation Cyclophosphamide After HLA Identical Compared to Haploidentical Donor Transplant in Acute Myeloid Leukemia: A Study on Behalf of GETH-TC,Spain,EU,retrospective_cohort,multi,20,2013,2019,mixed,27 (MSD/MUD); 62.5 (haplo),6,104,Y,none,NR,English,Y,N,NA,RL,PEND,2026-05-26,PEND,GETH-TC AML cohort. Both arms received PTCy; comparison is donor type (HLA-id MSD/MUD vs haplo) within-PTCy. Comparison 3 eligible. MSD/MUD arm has heterogeneous PTCy schedules and adjunct IS.
45,1021,Baker M,2016,Biology of Blood and Marrow Transplantation,10.1016/j.bbmt.2016.08.003,NR,Baker M et al. 2016 - Comparative Outcomes after Haploidentical or Unrelated Donor Bone Marrow or Blood Stem Cell Transplantation in Adult Patients with Hematological Malignancies.pdf,Comparative Outcomes after Haploidentical or Unrelated Donor Bone Marrow or Blood Stem Cell Transplantation in Adult Patients with Hematological Malignancies,USA,NA,retrospective_cohort,single,1,2009,2014,pre_2018,33.6,NR,NR,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,Median FU 1024 days for surviving patients converted to ~33.6 months. HAPLO arm = PTCy (Flu/Cy/TBI conditioning); URD arm = CNI-based with ATG-containing conditioning in most patients (4/59 received Cy/TBI without ATG). aGVHD reported at 6 months (D+180) not D+100 — recorded at D+180 with is_primary_timepoint=N since paper does not provide D+100 estimates.
46,NEW_Balletto_2024,Balletto E,2024,Transplant Infectious Disease,10.1111/tid.14215,NR,"Balletto E. et al. 2024 - Adenovirus infection in adult patients undergo ... ic stem cell transplant - Incidence, clinical management, and outcome.pdf","Adenovirus infection in adult patients undergoing allogeneic hematopoietic stem cell transplant: Incidence, clinical management, and outcome",Italy,EU,single_arm_descriptive_excluded,single,1,2014,2019,mixed,25.7,0.3,81.8,NA,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Single-center retrospective cohort of 445 adult allo-HSCT recipients at San Martino Hospital, Genoa, Italy, 2014-2019. Adenovirus-focused study. Cohort composition: 73% PTCy-based GvHD prophylaxis (327/445), 27% MTX+CsA (118/445); 76% haploidentical donor, 88% MAC, 9% received ATG. The paper does NOT stratify ADV incidence or outcomes by GvHD prophylaxis (PTCy vs MTX+CsA). PTCy appeared as a covariate in risk-factor analysis (univariable SHR 1.46, 95% CI 0.67-3.20, p=.345 for any ADVi), but no arm-stratified ADV incidence, viremia, disease, or mortality data are reported. Protocol-excluded as single-arm descriptive (no PTCy contrast). Tracked for PRISMA only. Follow-up median 782 days (IQR 10-2490) converted to months."
47,NEW_Bansal_2021,Bansal R,2021,Transplant Infectious Disease,10.1111/tid.13487,NR,"Bansal R et al. 2021 - Extended letermovir administration, beyond day 10 ... ective for CMV prophylaxis in patients with graft versus host disease.pdf","Extended letermovir administration, beyond day 100, is effective for CMV prophylaxis in patients with graft versus host disease",USA,NA,single_arm_descriptive_excluded,single,1,2018,2020,post_2018,6.9,3.7,27.2,NA,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Single-center retrospective case series (Columbia/NewYork-Presbyterian) of 20 CMV-seropositive AHCT recipients with GVHD who received extended letermovir prophylaxis beyond day 100. Mixed cohort: donor types include MRD 7 (35%), MUD 7 (35%), haplo 5 (25%), MMUD 1 (5%). GVHD prophylaxis was Tac/MTX 9 (45%), Tac/MMF/PTCy 6 (30%), Alemtuzumab/Sirolimus 3 (15%), Tac/MMF 2 (10%). No comparator arm and no formal PTCy vs non-PTCy contrast for protocol outcomes (only descriptive comparison of CD4 counts and CMV viremia rates between PTCy and non-PTCy subgroups, with very small subgroup sizes; not eligible for Comparison 1, 2, or 3). PTCy n=6 only, and PTCy patients are a subset selected on having GVHD AND extended letermovir, making any contrast incompatible with protocol comparisons. Excluded as single_arm_descriptive_excluded per spec; outcome extraction skipped."
48,1022,Baranwal,2025,Transplantation and Cellular Therapy,10.1016/j.jtct.2025.05.006,NR,Baranwal et al. 2025 - Comparison of Chimerism Kinetics and Associated Outcomes in PTCy-Based GVHD Prophylaxis.pdf,Comparison of Chimerism Kinetics and Associated Outcomes in Patients Receiving Post-Transplant Cyclophosphamide Versus Methotrexate based GVHD Prophylaxis Following Allogeneic Hematopoietic Cell Transplant,USA,NA,retrospective_cohort,single,1,2018,2023,post_2018,33.6,NR,NR,Y,none,NA,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Chimerism kinetics study. PTCy vs MTX comparison exists but limited infection/GVHD outcomes reported. Primary outcomes reported: OS, RFS, chimerism. No BSI, CMV, IFI, IRM, GVHD rates reported. Median FU 2.8 yr (95% CI 2.5-3.0)."
49,1023,Barkhordar M,2021,International Journal of Hematology-Oncology and Stem Cell Research,NR,NR,"Barkhordar M et al. 2021 - Selection of Suitable Alternative Donor in th ... en Haploidentical, 10 - 10 and 9 - 10 Unrelated Donor Transplantation.pdf","Selection of Suitable Alternative Donor in the Absence of Matched Sibling Donor: A Retrospective Single-Center Study to Compare between Haploidentical, 10/10 and 9/10 Unrelated Donor Transplantation",Iran,Asia,retrospective_cohort,single,1,2010,2019,mixed,31.83,6.05,57.62,Y,partial_overlap,50;51,English,Y,N,NA,RL,PEND,2026-05-26,PEND,"Prompt initially described a haplo vs 10/10 URD vs UCB comparison, but the actual paper compares haplo vs 10/10 MUD vs 9/10 MMUD vs 9/10 MMRD — there is NO cord blood arm. Extracted as 4-arm study. Authors explicitly state that exact time of GvHD onset was not determined in some cases, so cumulative incidence of acute/chronic GvHD at D+100 / 1-yr could not be calculated — GvHD figures in Table 1 are crude proportions over entire follow-up (not D+100 CI). Therefore aGVHD II-IV at D+100 is recorded as crude_proportion with timepoint=other and flagged."
