outcome_id,parent_outcome_id,moderator_variable,moderator_value,arm_id,study_id,cohort_id,outcome_category,outcome_subtype,timepoint,timepoint_days_numeric,is_primary_timepoint,is_primary_definition,denominator_n,event_count,proportion_reported_pct,cumulative_incidence_pct,ci_lower_pct,ci_upper_pct,ci_method,competing_risks_handled,hr_value,hr_ci_lower,hr_ci_upper,hr_comparator_arm_id,hr_adjusted,incidence_rate_value,incidence_rate_unit,person_time_total,person_time_unit,median_time_to_event_days,ascertainment_method,screening_frequency_per_week,definition_text,data_source,data_quality_flag,extraction_notes
180,136,donor_type,MUD,19,9,1003,BSI,any_pathogen,D+30,30,Y,Y,73,NR,42.5,42.5,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,D+30 CIF of BSI in MUD subgroup of PTCy arm.,narrative_text,direct,From narrative text.
181,136,donor_type,MMUD,19,9,1003,BSI,any_pathogen,D+30,30,Y,Y,73,NR,32.9,32.9,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,D+30 CIF of BSI in MMUD subgroup of PTCy arm.,narrative_text,direct,From narrative text.
182,136,donor_type,haplo,19,9,1003,BSI,any_pathogen,D+30,30,Y,Y,41,NR,22,22,NR,NR,Gray_CIF,Y_CIF,0.5,0.25,0.98,NA,unadjusted,NR,NA,NR,NA,NR,clinical_only,NR,D+30 CIF of BSI in haploidentical subgroup of PTCy arm. Univariate HR for haplo vs others within PTCy arm = 0.50 (P=0.046); multivariate HR 0.65 (P=0.220).,narrative_text,direct,Haplo within PTCy: univariate HR 0.50 (0.25-0.98) p=0.046; multivariate HR 0.65 (0.33-1.29) p=0.220.
183,169,donor_type,MMUD_minority_ancestry,22,10,1008,overall_mortality,OS_event,end_of_followup,1095,N,Y,NR,NR,NR,40,33,48,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NR,NR,NR,NA,NR,NA,NR,NR,NR,Subgroup: 3-year OS in patients of minority ancestry undergoing MMUD HCT with PTCy: 60% (52%-67%); CI%=100-60=40%.,narrative_text,direct,"Reported in Results: 'In the subgroup of patients of minority ancestry who underwent MMUD HCT with PTCy, the 3-year OS was 60% (52%-67%)'."
184,169,donor_type,MMUD_NHW,22,10,1008,overall_mortality,OS_event,end_of_followup,1095,N,Y,NR,NR,NR,41,36,47,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NR,NR,NR,NA,NR,NA,NR,NR,NR,Subgroup: 3-year OS in NHW patients undergoing MMUD HCT with PTCy: 59% (53%-64%); CI%=100-59=41%.,narrative_text,direct,Reported in Results.
185,218,graft_source,MRD_PBSC,33,26,1014,aGVHD,grade_II_IV,D+100,100,Y,Y,9,NR,NR,56,31,100,Gray_CIF,Y_CIF,1.1,0.2,5.9,NA,unadjusted,NR,NA,NR,NA,NR,clinical_only,NR,"MRD PB subgroup, full cohort N=49 analysis (Table 3).",table,direct,"Subgroup within MRD cohort (PB vs BM). Reference category = MRD BM (40%, n=5). P=0.90."
186,218,graft_source,MRD_BM,33,26,1014,aGVHD,grade_II_IV,D+100,100,Y,Y,5,NR,NR,40,14,100,Gray_CIF,Y_CIF,NR,NR,NR,NA,unadjusted,NR,NA,NR,NA,NR,clinical_only,NR,"MRD BM subgroup, full cohort N=49 analysis (Table 3). Reference category in PB vs BM comparison.",table,direct,Subgroup within MRD cohort. Reference group (HR=Ref) for the MRD PB vs BM comparison.
187,218,atg_dose_category,MUD_BM_with_ATG,33,26,1014,aGVHD,grade_II_IV,D+100,100,Y,Y,20,NR,NR,36,21,68,Gray_CIF,Y_CIF,NR,NR,NR,NA,unadjusted,NR,NA,NR,NA,NR,clinical_only,NR,"MUD BM patients receiving ATG (4 mg/kg total, days -3 to -1) per institutional practice. Reference category for ATG vs No-ATG comparison.",table,direct,Subgroup within MUD BM (n=30 at risk after 2 PB excluded). Reference (HR=Ref) for ATG vs No-ATG comparison.
188,218,atg_dose_category,MUD_BM_no_ATG,33,26,1014,aGVHD,grade_II_IV,D+100,100,Y,Y,10,NR,NR,80,59,100,Gray_CIF,Y_CIF,2.8,1.1,7.5,NA,unadjusted,NR,NA,NR,NA,NR,clinical_only,NR,MUD BM patients enrolled after protocol amendment removing ATG (post-#34 enrolled). HR vs ATG reference group.,table,direct,"Subgroup within MUD BM. HR 2.8 vs ATG reference, P=0.03."
189,219,atg_dose_category,MUD_BM_with_ATG,33,26,1014,aGVHD,grade_III_IV,D+100,100,Y,Y,20,NR,NR,10,3,41,Gray_CIF,Y_CIF,NR,NR,NR,NA,unadjusted,NR,NA,NR,NA,NR,clinical_only,NR,"MUD BM with ATG, aGVHD III-IV at D+100. Reference category.",table,direct,Subgroup analysis. P=0.10 vs No-ATG.
190,219,atg_dose_category,MUD_BM_no_ATG,33,26,1014,aGVHD,grade_III_IV,D+100,100,Y,Y,10,NR,NR,50,27,93,Gray_CIF,Y_CIF,3.1,0.8,11,NA,unadjusted,NR,NA,NR,NA,NR,clinical_only,NR,"MUD BM without ATG, aGVHD III-IV at D+100. HR vs ATG reference.",table,direct,P=0.10.
191,222,atg_dose_category,MUD_BM_with_ATG,33,26,1014,NRM,NRM_overall,D+365_1yr,365,Y,Y,20,NR,NR,25,12,53,Gray_CIF,Y_CIF,0.4,NR,NR,NA,unadjusted,NR,NA,NR,NA,NR,clinical_only,NR,"1-yr NRM in MUD BM with ATG. HR 0.4 vs No-ATG reference, P=0.25.",table,direct,"Subgroup within MUD BM. Note: this is 1-yr NRM, not 2-yr. Trend toward decreased NRM with ATG."
192,222,atg_dose_category,MUD_BM_no_ATG,33,26,1014,NRM,NRM_overall,D+365_1yr,365,Y,Y,10,NR,NR,40,19,85,Gray_CIF,Y_CIF,NR,NR,NR,NA,unadjusted,NR,NA,NR,NA,NR,clinical_only,NR,1-yr NRM in MUD BM without ATG. Reference category.,table,direct,Reference category for ATG vs No-ATG comparison.
193,321,graft_source,PBSC,46,45,1021,overall_mortality,OS_event,D+730_2yr,730,N,Y,30,NR,NR,51,31,68,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,2-yr relapse rate by graft source within HAPLO arm.,narrative_text,direct,Within-arm subgroup: 2-yr relapse (not OS) — 51% PBSC vs 35% BM in HAPLO. Reporting as relapse outcome (recoded). P=.238.
194,429,graft_source,PBSC,65,60,1024,aGVHD,grade_III_IV,D+100,100,Y,Y,85,NR,NR,8,4,16,Gray_CIF,Y_CIF,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,PTCY arm restricted to PBSC graft source; modified Glucksberg,table,direct,PBSC subgroup; p=0.04 vs ATG-PBSC
195,435,graft_source,PBSC,66,60,1024,aGVHD,grade_III_IV,D+100,100,Y,Y,164,NR,NR,18,13,25,Gray_CIF,Y_CIF,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,ATG arm restricted to PBSC graft source; modified Glucksberg,table,direct,PBSC subgroup; p=0.04 vs PTCY-PBSC
196,529,enrollment_era,age_70_74_vs_75plus_PTCy_70_74,78,67,1028,NRM,NRM_overall,D+365_1yr,365,Y,Y,18,9,50,50,NR,NR,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,clinical_only,NR,Non-relapse mortality at 1 year in PTCy patients aged 70-74.,table,direct,Subgroup PTCy age 70-74 (n=18): NRM 9 (50%) at 1 year.
197,529,enrollment_era,age_75plus_PTCy,78,67,1028,NRM,NRM_overall,D+365_1yr,365,Y,Y,23,12,52,52,NR,NR,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,clinical_only,NR,Non-relapse mortality at 1 year in PTCy patients aged 75+.,table,direct,Subgroup PTCy age 75+ (n=23): NRM 12 (52%) at 1 year.
198,531,enrollment_era,age_70_74_PTCy,78,67,1028,overall_mortality,OS_event,D+365_1yr,365,Y,Y,18,8,44,44,NR,NR,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,clinical_only,NR,"OS at 1 year, PTCy 70-74.",table,derived,Subgroup PTCy 70-74 (n=18): 1-yr OS 55-56% per Table 2 (10 alive); event = 18-10 = 8.
199,531,enrollment_era,age_75plus_PTCy,78,67,1028,overall_mortality,OS_event,D+365_1yr,365,Y,Y,23,14,61,61,NR,NR,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,clinical_only,NR,"OS at 1 year, PTCy 75+.",table,derived,Subgroup PTCy 75+ (n=23): 1-yr OS 39% per Table 2 (9 alive); event = 23-9 = 14.
200,742,donor_type,MUD_10_10,110,94,1035,overall_mortality,OS_event,D+730_2yr,1825,N,Y,112,NR,NR,40,28,48,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,NR,NA,NA,NA,NA,NR,clinical_only,NA,MUD-PTCY subgroup 5-year OS = 60% (95% CI 52-72%); mortality = 100-60 = 40% (CI inverted 28-48%).,figure_text,derived,Figure 3 legend: OS 60% (52-72) for MUD-PTCY.
201,742,donor_type,MMUD,110,94,1035,overall_mortality,OS_event,D+730_2yr,1825,N,Y,97,NR,NR,47,37,58,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,NR,NA,NA,NA,NA,NR,clinical_only,NA,MMUD-PTCY subgroup 5-year OS = 53% (95% CI 42-63%); mortality = 100-53 = 47%.,figure_text,derived,Figure 3 legend: OS 53% (42-63) for MMUD-PTCY.
202,743,donor_type,MUD_10_10,111,94,1035,overall_mortality,OS_event,D+730_2yr,1825,N,Y,560,NR,NR,48,43,52,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,NR,NA,NA,NA,NA,NR,clinical_only,NA,MUD-ATG subgroup 5-year OS = 52% (95% CI 48-57%); mortality = 100-52 = 48%.,figure_text,derived,Figure 3 legend: OS 52% (48-57) for MUD-ATG.
203,743,donor_type,MMUD,111,94,1035,overall_mortality,OS_event,D+730_2yr,1825,N,Y,191,NR,NR,59,51,66,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,NR,NA,NA,NA,NA,NR,clinical_only,NA,MMUD-ATG subgroup 5-year OS = 41% (95% CI 34-49%); mortality = 100-41 = 59%.,figure_text,derived,Figure 3 legend: OS 41% (34-49) for MMUD-ATG.
204,748,donor_type,"MRD/MUD vs MMRD/MMUD (matched vs mismatched), PT-Cy first-transplant subset",112,97,1036,IFI_any,EORTC_MSG_proven_probable_combined,D+365_1yr,365,N,Y,353,11,NR,NR,NR,NR,Gray_CIF,Y_CIF,0.351,0.093,1.318,MMRD_MMUD_reference_within_PTCy,adjusted,NR,NR,NR,NR,NR,clinical_only,NR,"Multivariable Fine-Gray sub-distribution hazard model in first allo-HSCT-r with PT-Cy (n=353, 10 b-PP-IFI events): donor MRD/MUD vs MMRD/MMUD adjusted sHR 0.351 (95%CI 0.093-1.318), p=0.121. Univariable sHR 0.345 (0.090-1.328), p=0.122. Adjusted for hematological disease and neutropenia before HSCT.",table,direct,Comparison 3 within-PTCy donor-type contrast. Donor type did NOT influence b-PP-IFI risk in PT-Cy recipients. Note: paper's MV model contrasts MRD/MUD vs MMRD/MMUD only; haplo donors (30.7% of cohort) handling in MV model not explicitly described — may be excluded from this MV comparison or grouped separately.
205,748,antifungal_class,voriconazole vs posaconazole,112,97,1036,IFI_any,EORTC_MSG_proven_probable_combined,D+365_1yr,365,N,Y,473,15,NR,NR,NR,NR,Gray_CIF,Y_CIF,0.66,0.169,2.571,posaconazole_reference,unadjusted,NR,NR,NR,NR,NR,clinical_only,NR,"Univariable Fine-Gray sHR for primary mould-active prophylaxis voriconazole vs posaconazole in PT-Cy first-transplant subset (n=353): 0.660 (0.169-2.571), p=0.549. Whole-cohort crude rate: voriconazole 4/187 (2.1%) vs posaconazole 11/286 (3.8%), p=0.30. Gray test for CIF curve by MAP type p=0.2947.",table,direct,Secondary moderator. Type of azole did not impact b-PP-IFI occurrence.
206,751,donor_type,"IFI high-risk vs non-high-risk (whole cohort, mostly PT-Cy)",112,97,1036,infection_related_mortality,IRM_any_cause_infectious,D+365_1yr,365,Y,Y,306,32,10.5,10,7.2,14,Gray_CIF,Y_CIF,NR,NR,NR,non_high_risk_reference,NR,NR,NR,NR,NR,NR,clinical_only,NR,"1-yr CIF of IRM in IFI high-risk group 10% (95%CI 7.2-14) vs non-high-risk 3.6% (95%CI 1.5-11.8), Gray p<0.0001. Note: IFI high-risk includes mismatched donors with neutropenia/aGVHD2/csCMVi, so this serves as a partial donor-related stratification.",narrative_text,direct,Captured as partial donor-related subgroup; high-risk classification embeds donor mismatch + post-HSCT events. 32 IRM events of 34 total whole-cohort IRM occurred in high-risk group.
207,774,cmv_serostatus_DR,D+/R+,115,100,1038,CMV,any_reactivation,D+365_1yr,365,N,Y,100,NR,NR,40,30,49,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,routine_screening,1-2,CMV reactivation per ECIL-7 in MSD D+/R+ subgroup.,table,direct,Table 3 MSD D+/R+ subgroup; n approximated from Table 1 (100 MSD D+/R+).
208,774,cmv_serostatus_DR,D-/R+,115,100,1038,CMV,any_reactivation,D+365_1yr,365,N,Y,32,NR,NR,69,49,82,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,routine_screening,1-2,CMV reactivation in MSD D-/R+ subgroup.,table,direct,Table 3 MSD D-/R+; n from Table 1.
209,775,cmv_serostatus_DR,D+/R+,116,100,1038,CMV,any_reactivation,D+365_1yr,365,N,Y,55,NR,NR,47,34,60,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,routine_screening,1-2,CMV reactivation in MUD D+/R+ subgroup.,table,direct,Table 3 MUD D+/R+.
210,775,cmv_serostatus_DR,D-/R+,116,100,1038,CMV,any_reactivation,D+365_1yr,365,N,Y,42,NR,NR,67,50,79,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,routine_screening,1-2,CMV reactivation in MUD D-/R+ subgroup.,table,direct,Table 3 MUD D-/R+.
211,776,cmv_serostatus_DR,D+/R+,117,100,1038,CMV,any_reactivation,D+365_1yr,365,N,Y,45,NR,NR,69,53,80,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,routine_screening,1-2,CMV reactivation in haplo D+/R+ subgroup.,table,direct,Table 3 haplo D+/R+.
212,776,cmv_serostatus_DR,D-/R+,117,100,1038,CMV,any_reactivation,D+365_1yr,365,N,Y,21,NR,NR,90,61,98,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,routine_screening,1-2,CMV reactivation in haplo D-/R+ subgroup.,table,direct,Table 3 haplo D-/R+.
213,838,donor_type,F_to_M_sex_mismatch,124,109,1042,aGVHD,grade_II_IV,D+100,100,Y,Y,38,NR,29.6,29.6,NR,NR,Gray_CIF,Y_CIF,0.48,NR,NR,125,adjusted,NR,NA,NR,NA,NR,clinical_only,NR,"F->M ATG-PTCy-CNI subgroup (Group I, n=38); aGVHD II-IV CI 29.6%; subgroup MVA HR 0.48 (P=.05)",narrative_text,direct,Subgroup MVA restricted to F->M HSCT (n=114). HR for ATG-PTCy vs CNI-MTX/MMF.
214,839,donor_type,F_to_M_sex_mismatch,124,109,1042,aGVHD,grade_III_IV,D+100,100,Y,Y,38,NR,7.9,7.9,NR,NR,Gray_CIF,Y_CIF,0.25,0.1,0.9,125,adjusted,NR,NA,NR,NA,NR,clinical_only,NR,F->M ATG-PTCy-CNI subgroup; aGVHD III-IV CI 7.9%; subgroup MVA HR 0.25 (P=.04),narrative_text,direct,Subgroup MVA restricted to F->M HSCT.
215,840,donor_type,F_to_M_sex_mismatch,124,109,1042,cGVHD,any_NIH,D+730_2yr,730,N,Y,38,NR,33,33,NR,NR,Gray_CIF,Y_CIF,0.33,0.1,0.6,125,adjusted,NR,NA,NR,NA,NR,clinical_only,NR,F->M ATG-PTCy-CNI subgroup; 2-yr cGVHD CI 33.0%; subgroup MVA HR 0.33 (P<.01),narrative_text,direct,Subgroup MVA restricted to F->M HSCT.
216,1046,cmv_serostatus_DR,recipient_seropositive,153,134,1049,CMV,any_reactivation,end_of_followup,1110,N,Y,181,NR,NR,78,72,84,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NR,NA,NR,NA,NR,active_surveillance,2,"Among CMV seropositive patients (R+) the incidence of CMV-I was 78% (95% C.I., 72-84%).",narrative_text,direct,Denominator R+ = 48% + 29% = 77% of 236 = ~182.
217,1046,cmv_serostatus_DR,recipient_seronegative,153,134,1049,CMV,any_reactivation,end_of_followup,1110,N,Y,54,NR,NR,24,12,36,Gray_CIF,Y_CIF,NA,NA,NA,NA,NA,NR,NA,NR,NA,NR,active_surveillance,2,"In seronegative recipients (R-) it was 24% (95% C.I., 12-36%).",narrative_text,direct,Denominator R- = 12% + 11% = 23% of 236 = ~54.
218,1175,other,AML_subgroup,167,146,1055,overall_mortality,OS_event,D+730_2yr,730,N,Y,76,NR,NR,50,38,63,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,NR,NR,OS at 2-y in AML subgroup,narrative_text,derived,AML subgroup ATG-PTCy n=76: OS 2y 50% (95% CI 37-62); mortality = 100-50 = 50%
219,1176,other,AML_subgroup,168,146,1055,overall_mortality,OS_event,D+730_2yr,730,N,Y,120,NR,NR,29,20,40,Kaplan_Meier,N_KM_or_crude,0.4,0.23,0.6899999999999999,167,adjusted,NR,NA,NR,NA,NR,NR,NR,OS at 2-y in AML subgroup,narrative_text,derived,"AML subgroup PTCy n=120: OS 2y 71% (95% CI 60-80); mortality 29%. Multivariable HR PTCy vs ATG-PTCy in AML 0.40 (0.23-0.69, p=.001)"
220,1193,cmv_serostatus_DR,D-/R- vs D+/R+ vs D+/R- vs D-/R+,171,158,1001,CMV,any_reactivation,end_of_followup,NR,N,Y,98,75,76.5,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,routine_screening,NR,"CMV viremia detection in higher-risk serostatus subset (D+ or R+, 98 patients).",narrative_text,direct,"Subgroup: 75/98 (77%) higher-risk (D+ or R+) developed viremia. From baseline: D-/R- 40 (5 viremic = 13%); D-/R+ 37; D+/R- 18 (5 viremic, 0 disease); D+/R+ 43."
221,1411,agvhd_status,CR1_at_transplant,197,187,1070,overall_mortality,OS_event,D+365_1yr,1095,N,Y,166,NR,24,24,NR,NR,Kaplan_Meier,N_KM_or_crude,0.662,0.452,0.969,198,adjusted,NR,NR,NR,NR,NR,NR,NR,3-year OS in CR1 subgroup = 76.0% in PTCy-haplo vs 69.5% in UCB; PTCy-haplo significantly better (p=0.034). Mortality = 100-76 = 24%.,narrative_text,back_calculated,"moderator_variable 'disease_status_CR1' captured as 'agvhd_status' which is closest in vocabulary; not a perfect match — flagged for consolidator. CR1 subgroup analysis: PTCy n=166, UCB n=814."
222,1409,agvhd_status,CR1_at_transplant,197,187,1070,NRM,NRM_overall,D+365_1yr,1095,N,Y,166,NR,NR,12.8,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,198,NR,NR,NR,NR,NR,NR,NR,NR,3-year NRM in CR1 subgroup; PTCy-haplo 12.8% vs UCB 22.6% (p=0.003).,narrative_text,direct,CR1 subgroup; HR not separately reported for NRM in CR1.
223,1475,graft_source,PBSC_only,210,203,1077,aGVHD,grade_II_IV,D+100,100,Y,Y,81,NR,NR,11,5,19,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,"Subset analysis restricted to PBSC recipients (Table 8). aGVHD II-IV D+100 PTCy PBSC arm 11% (5-19) vs non-PTCy PBSC arm 34% (27-42), P=.0001.",table,direct,Table 8 PBSC subset.
224,1476,graft_source,PBSC_only,211,203,1077,aGVHD,grade_II_IV,D+100,100,Y,Y,161,NR,NR,34,27,42,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Subset analysis restricted to PBSC recipients (Table 8). aGVHD II-IV D+100 non-PTCy PBSC.,table,direct,Table 8 PBSC subset.
225,1477,graft_source,PBSC_only,210,203,1077,aGVHD,grade_III_IV,D+100,100,Y,Y,81,NR,NR,1,0.1,6,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,"PBSC subset, Table 8: aGVHD III-IV D+100 PTCy 1% (0.1-6) vs non-PTCy 16% (10-22), P=.0007.",table,direct,Table 8 PBSC subset.
226,1478,graft_source,PBSC_only,211,203,1077,aGVHD,grade_III_IV,D+100,100,Y,Y,161,NR,NR,16,10,22,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,PBSC subset Table 8.,table,direct,Table 8 PBSC subset.
227,1479,graft_source,PBSC_only,210,203,1077,cGVHD,extensive_Seattle,D+365_1yr,365,Y,Y,81,NR,NR,16,9,25,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,"PBSC subset Table 8: cGVHD extensive 1y PTCy 16% (9-25) vs non-PTCy 33% (26-40), P=.0067.",table,direct,Table 8 PBSC subset.
228,1480,graft_source,PBSC_only,211,203,1077,cGVHD,extensive_Seattle,D+365_1yr,365,Y,Y,161,NR,NR,33,26,40,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,PBSC subset Table 8.,table,direct,Table 8 PBSC subset.
229,1571,agvhd_status,CR_at_transplant,222,217,1024,aGVHD,grade_III_IV,D+100,100,Y,Y,51,NR,NR,6.1,1.6,15.3,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,NR,NR,Acute GVHD grade III-IV at day 100 in PTCy patients transplanted in CR.,narrative_text,direct,PTCy in CR n=51.
230,1571,agvhd_status,active_disease_at_transplant,222,217,1024,aGVHD,grade_III_IV,D+100,100,Y,Y,68,NR,NR,11.1,4.8,20.4,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,NR,NR,Acute GVHD grade III-IV at day 100 in PTCy patients with active disease at transplant.,narrative_text,direct,PTCy active disease n=68.
231,1573,agvhd_status,CR_at_transplant,223,217,1024,aGVHD,grade_III_IV,D+100,100,Y,Y,18,NR,NR,13.3,2,35.5,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,NR,NR,Acute GVHD grade III-IV at day 100 in ATG patients transplanted in CR.,narrative_text,direct,ATG in CR n=18.
232,1573,agvhd_status,active_disease_at_transplant,223,217,1024,aGVHD,grade_III_IV,D+100,100,Y,Y,17,NR,NR,12.5,1.9,33.7,Gray_CIF,Y_CIF,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,NR,NR,Acute GVHD grade III-IV at day 100 in ATG patients with active disease at transplant.,narrative_text,direct,ATG active disease n=17.
233,1642,conditioning_intensity,MAC,231,232,1024,aGVHD,grade_II_IV,D+100,100,Y,Y,358,NR,NR,33,NR,NR,Gray_CIF,Y_CIF,NR,NR,NR,232,NR,NR,NR,NR,NR,NR,NR,NR,Grade II-IV aGVHD 3-month CI by conditioning intensity subgroup (MAC),narrative_text,direct,"Abstract reports MAC aGVHD 33% vs 34%, P=.46"
