outcome_id,arm_id,study_id,cohort_id,outcome_category,outcome_subtype,timepoint,timepoint_days_numeric,is_primary_timepoint,is_primary_definition,denominator_n,event_count,proportion_reported_pct,cumulative_incidence_pct,ci_lower_pct,ci_upper_pct,ci_method,competing_risks_handled,hr_value,hr_ci_lower,hr_ci_upper,hr_comparator_arm_id,hr_adjusted,incidence_rate_value,incidence_rate_unit,person_time_total,person_time_unit,median_time_to_event_days,ascertainment_method,screening_frequency_per_week,definition_text,data_source,data_quality_flag,extraction_notes
31,7,5,1004,BSI,any_pathogen,D+100,100,Y,N,38,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,NR,12.1,per_1000_pt_days,NR,patient_days,NR,clinical_only,NR,"Bacterial infections necessitating treatment (any bacterial infection, not BSI-specific). Infection density events per 1000 patient-days.",table,direct,Bacterial density 0-100 days = 12.1 per 1000 patient-days (Table 3). Same caveat as O1: not BSI-specific.
32,8,5,1004,BSI,any_pathogen,D+100,100,Y,N,89,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,NR,9.800000000000001,per_1000_pt_days,NR,patient_days,NR,clinical_only,NR,Bacterial infections necessitating treatment. Events per 1000 patient-days.,table,direct,Bacterial density 0-100 days = 9.8 per 1000 patient-days (Table 3).
33,9,5,1004,BSI,any_pathogen,D+100,100,Y,N,381,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,NR,8.800000000000001,per_1000_pt_days,NR,patient_days,NR,clinical_only,NR,Bacterial infections necessitating treatment. Events per 1000 patient-days.,table,direct,Bacterial density 0-100 days = 8.8 per 1000 patient-days (Table 3).
34,6,5,1004,CMV,any_reactivation,end_of_followup,365,N,Y,75,38,50.7,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,routine_screening,1,"CMV reactivation/infection defined as peripheral blood CMV DNAemia >=500 copies by quantitative PCR, or equivalent of >=650 IU/mL by real-time PCR. Weekly CMV monitoring through day +100 post-transplantation in all patients.",table,direct,Table 4. Timepoint is whole-followup (data captured up to 1 year per methods). Mapped to end_of_followup.
35,7,5,1004,CMV,any_reactivation,end_of_followup,365,N,Y,38,10,26.3,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,routine_screening,1,CMV DNAemia >=500 copies/mL by qPCR (or >=650 IU/mL real-time PCR).,table,direct,Table 4.
36,8,5,1004,CMV,any_reactivation,end_of_followup,365,N,Y,89,23,25.8,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,routine_screening,1,CMV DNAemia >=500 copies/mL by qPCR.,table,direct,Table 4.
37,9,5,1004,CMV,any_reactivation,end_of_followup,365,N,Y,381,50,13.1,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,routine_screening,1,CMV DNAemia >=500 copies/mL by qPCR.,table,direct,Table 4.
38,6,5,1004,overall_mortality,OS_event,D+730_2yr,730,N,Y,75,NR,NR,38.1,NR,NR,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,Overall survival defined as the time from transplantation to death from any cause. 2-year OS for haplo-PTCy = 61.9%; reported as 100 - OS = 38.1% mortality cumulative incidence.,figure_KM_curve,derived,2-year OS 61.9% reported in text (Figure 3); converted to mortality CI = 100 - 61.9 = 38.1%. Overall log-rank P=.78.
39,7,5,1004,overall_mortality,OS_event,D+730_2yr,730,N,Y,38,NR,NR,43.8,NR,NR,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,2-year OS for MUD-PTCy = 56.2%; mortality CI = 100-56.2 = 43.8%.,figure_KM_curve,derived,"2-year OS 56.2% (Figure 3, narrative)."
40,8,5,1004,overall_mortality,OS_event,D+730_2yr,730,N,Y,89,NR,NR,30.6,NR,NR,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,2-year OS for Tac/MTX = 69.4%; mortality CI = 30.6%.,figure_KM_curve,derived,"2-year OS 69.4% (Figure 3, narrative)."
41,9,5,1004,overall_mortality,OS_event,D+730_2yr,730,N,Y,381,NR,NR,38,NR,NR,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NA,NR,NA,NR,clinical_only,NR,2-year OS for Tac/Sir = 62%; mortality CI = 38%.,figure_KM_curve,derived,"2-year OS 62% (Figure 3, narrative)."
42,10,6,1005,BSI,any_pathogen,D+100,100,Y,Y,68,30,44.12,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,routine_screening,NR,Bloodstream infection defined as positive blood culture (bacteria or fungi); counted as a unique event if new culture positive >14 days after last or new pathogen strain identified.,figure_text,direct,Fig 4b: 44.12% of PTCY patients had BSI d0-d100; event_count computed as 0.4412*68=30.
43,11,6,1005,BSI,any_pathogen,D+100,100,Y,Y,97,22,22.68,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,routine_screening,NR,Bloodstream infection defined as positive blood culture (bacteria or fungi).,figure_text,direct,Fig 4b: 22.68% MRD/NoATLG had BSI d0-d100; event_count = round(0.2268*97) = 22.
44,12,6,1005,BSI,any_pathogen,D+100,100,Y,Y,280,52,18.57,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,routine_screening,NR,Bloodstream infection defined as positive blood culture.,figure_text,direct,Fig 4b: 18.57% MUD/ATLG; event_count = round(0.1857*280) = 52.
45,13,6,1005,BSI,any_pathogen,D+100,100,Y,Y,54,13,24.07,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,routine_screening,NR,Bloodstream infection defined as positive blood culture.,figure_text,direct,Fig 4b: 24.07% MM/ATLG; event_count = round(0.2407*54) = 13.
46,10,6,1005,CMV,any_reactivation,D+365_1yr,365,N,Y,40,17,43,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,1.03,other,NR,NR,NR,routine_screening,NR,CMV reactivation defined as CMV >1000 IU/ml. Counted as new unique event if value dropped below threshold or was non-existent before. Denominator restricted to CMV high-risk (R+) patients. Reactivations per patient = 1.03 average.,table,direct,Table 2: CMV reactivation incidence (R+) PTCY 17/40 = 43%. Denominator restricted to R+ (40 of 68 PTCY patients). Authors report incidence at 1 year window (within first year). Incidence rate value 1.03 represents avg reactivations/patient (not standard time-unit; flagged as 'other' unit).
47,11,6,1005,CMV,any_reactivation,D+365_1yr,365,N,Y,51,24,47,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,1.14,other,NR,NR,NR,routine_screening,NR,CMV reactivation defined as CMV >1000 IU/ml. Denominator = CMV R+ patients in MRD/NoATLG group (51 of 97).,table,direct,Table 2: 24/51 R+ patients = 47%. Avg 1.14 reactivations/patient.
48,12,6,1005,CMV,any_reactivation,D+365_1yr,365,N,Y,156,76,49,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,1.06,other,NR,NR,NR,routine_screening,NR,CMV reactivation defined as CMV >1000 IU/ml. Denominator = CMV R+ patients in MUD/ATLG group (156 of 280).,table,direct,Table 2: 76/156 R+ = 49%. Avg 1.06 reactivations/patient.
49,13,6,1005,CMV,any_reactivation,D+365_1yr,365,N,Y,34,28,82,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,2.68,other,NR,NR,NR,routine_screening,NR,CMV reactivation CMV >1000 IU/ml. Denominator = CMV R+ in MM/ATLG (34 of 54).,table,direct,Table 2: 28/34 R+ = 82%. Avg 2.68 reactivations/patient.
50,10,6,1005,other_infection,EBV_reactivation,D+365_1yr,365,N,Y,68,4,6,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,0.07000000000000001,other,NR,NR,NR,routine_screening,NR,EBV reactivation defined as EBV >3000 IU/ml; unique event if value dropped below threshold or was non-existent before.,table,direct,"Table 2: 4/68 = 6%, avg 0.07 reactivations/patient."
51,11,6,1005,other_infection,EBV_reactivation,D+365_1yr,365,N,Y,97,3,3,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,0.04,other,NR,NR,NR,routine_screening,NR,EBV reactivation EBV >3000 IU/ml.,table,direct,Table 2: 3/97 = 3%.
52,12,6,1005,other_infection,EBV_reactivation,D+365_1yr,365,N,Y,280,27,10,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,0.12,other,NR,NR,NR,routine_screening,NR,EBV reactivation EBV >3000 IU/ml.,table,direct,Table 2: 27/280 = 10%.
53,13,6,1005,other_infection,EBV_reactivation,D+365_1yr,365,N,Y,54,9,17,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,0.24,other,NR,NR,NR,routine_screening,NR,EBV reactivation EBV >3000 IU/ml.,table,direct,Table 2: 9/54 = 17%.
54,10,6,1005,infection_related_mortality,IRM_any_cause_infectious,D+100,100,N,Y,68,NR,17,17,NR,NR,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,clinical_only,NR,"Probability of dying due to infectious complications within first 100 days. Cause of death: if multiple causes incl infection, infection was primary cause of death (relapse priority above infection).",figure_KM_curve,estimated_from_figure,Fig 5b upper panel: 17% probability of death due to infection d0-d100 in PTCY (KM/log-rank p<0.05 vs others). Read from KM curve text in Results.
55,11,6,1005,infection_related_mortality,IRM_any_cause_infectious,D+100,100,N,Y,97,NR,6,6,NR,NR,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,clinical_only,NR,Probability of death due to infectious complications by day 100.,figure_KM_curve,estimated_from_figure,Fig 5b: 6% in MRD/NoATLG.
56,12,6,1005,infection_related_mortality,IRM_any_cause_infectious,D+100,100,N,Y,280,NR,5,5,NR,NR,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,clinical_only,NR,Probability of death due to infectious complications by day 100.,figure_KM_curve,estimated_from_figure,Fig 5b: 5% in MUD/ATLG.
57,13,6,1005,infection_related_mortality,IRM_any_cause_infectious,D+100,100,N,Y,54,NR,9,9,NR,NR,Kaplan_Meier,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,clinical_only,NR,Probability of death due to infectious complications by day 100.,figure_KM_curve,estimated_from_figure,Fig 5b: 9% in MM/ATLG.
58,10,6,1005,infection_related_mortality,IRM_any_cause_infectious,D+365_1yr,365,Y,Y,68,11,16,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,clinical_only,NR,"Overall death due to infection among all deceased. Cause of death: relapse priority; if no relapse, infection was primary cause of death.",table,direct,"Table 2: Death due to infection PTCY 11/68 = 16%. Note: Authors state no PTCY patient died of infection after day 100, so essentially all 11 deaths occurred d0-d100."
59,11,6,1005,infection_related_mortality,IRM_any_cause_infectious,D+365_1yr,365,Y,Y,97,10,10,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,clinical_only,NR,Overall death due to infection.,table,direct,Table 2: 10/97 = 10%.
60,12,6,1005,infection_related_mortality,IRM_any_cause_infectious,D+365_1yr,365,Y,Y,280,25,9,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,clinical_only,NR,Overall death due to infection.,table,direct,Table 2: 25/280 = 9%.
61,13,6,1005,infection_related_mortality,IRM_any_cause_infectious,D+365_1yr,365,Y,Y,54,12,22,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,clinical_only,NR,Overall death due to infection.,table,direct,Table 2: 12/54 = 22%.
62,10,6,1005,aGVHD,grade_II_IV,D+100,100,Y,Y,68,26,38,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,clinical_only,NR,aGvHD >I (grade II-IV). Assessed per Harris 2016/Mount Sinai aGvHD International Consortium criteria.,table,direct,Table 2: aGvHD >I 26/68 = 38%. Timepoint D+100 inferred (paper says 'most prevalent' without specifying day count; standard aGvHD ascertainment is by D+100).
63,11,6,1005,aGVHD,grade_II_IV,D+100,100,Y,Y,97,52,54,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,clinical_only,NR,aGvHD >I.,table,direct,Table 2: 52/97 = 54%.
64,12,6,1005,aGVHD,grade_II_IV,D+100,100,Y,Y,280,80,29,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,clinical_only,NR,aGvHD >I.,table,direct,Table 2: 80/280 = 29%.
65,13,6,1005,aGVHD,grade_II_IV,D+100,100,Y,Y,54,21,39,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,clinical_only,NR,aGvHD >I.,table,direct,Table 2: 21/54 = 39%.
66,10,6,1005,aGVHD,grade_III_IV,D+100,100,Y,Y,68,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,clinical_only,NR,aGvHD grade III-IV not separately reported (only aGvHD >I reported in Table 2).,narrative_text,direct,Per spec Q5: report NR for grade_III_IV when paper only reports grade_II_IV. Authors only reported aGvHD >I (grade II-IV) in Table 2.
67,11,6,1005,aGVHD,grade_III_IV,D+100,100,Y,Y,97,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,clinical_only,NR,aGvHD grade III-IV not separately reported.,narrative_text,direct,Not reported separately.
68,12,6,1005,aGVHD,grade_III_IV,D+100,100,Y,Y,280,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,clinical_only,NR,aGvHD grade III-IV not separately reported.,narrative_text,direct,Not reported separately.
69,13,6,1005,aGVHD,grade_III_IV,D+100,100,Y,Y,54,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,clinical_only,NR,aGvHD grade III-IV not separately reported.,narrative_text,direct,Not reported separately.
70,10,6,1005,cGVHD,moderate_severe_NIH,D+365_1yr,365,Y,Y,68,16,24,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,clinical_only,NR,cGvHD moderate or severe per NIH 2014 consensus criteria (Jagasia 2015).,table,direct,Table 2: cGvHD mod/severe PTCY 16/68 = 24%. Timepoint inferred as 1 year follow-up (full first-year window assessed).
71,11,6,1005,cGVHD,moderate_severe_NIH,D+365_1yr,365,Y,Y,97,51,53,NR,NR,NR,crude_proportion,N_KM_or_crude,NR,NR,NR,NA,NR,NR,NR,NR,NR,NR,clinical_only,NR,cGvHD moderate or severe per NIH 2014.,table,direct,Table 2: 51/97 = 53%.
