cohort_id,cohort_label,cohort_description,registry_or_source,enrollment_start_year,enrollment_end_year,total_unique_patients,primary_publication_study_id,primary_publication_overrides,overlap_notes
1012,CatholicKorea_SeoulStMary_ALL_HIDT,"Single-center retrospective cohort of 78 consecutive adult ALL patients (median age 51, range 19-68) diagnosed between 2017 and 2023 at Catholic Hematology Hospital, Seoul St. Mary's Hospital, undergoing haploidentical donor HCT in CR1 or CR2. Two regimen groups: (i) FMTBI group (n=26, since 2023) receiving fludarabine 150 mg/m2 + melphalan 100 mg/m2 + TBI 400 cGy with ATG 4.5 mg/kg + PTCy 60 mg/kg (30 mg/kg x 2 days), followed by tacrolimus + MMF; (ii) FB historical control (n=52, 2017-2022) receiving fludarabine 150 mg/m2 + busulfan 9.6 mg/kg with ATG 6 mg/kg, followed by tacrolimus + methotrexate. PBSC graft in all. May overlap with Ahn J 2024 BMT (study_id 21) which studied the same institutional FM vs FB conditioning comparison.",single_center,2017,2023,78,20,NR,"Likely shares FB historical control patients with Ahn J 2024 (study_id 21), which compared FM vs FB conditioning in adult ALL at same institution. Consolidator to confirm overlap and assign final cohort_id."
1013,PrincessMargaret_Toronto_Michelis,"Single-center retrospective cohort of 159 patients undergoing allogeneic HCT for high-risk AML (n=120) or high-risk MDS (n=39) at the Princess Margaret Cancer Centre, University Health Network, Toronto, Canada, between January 2014 and July 2017. Donors: matched related (33%), HLA 10/10 unrelated (36%), HLA 9/10 unrelated (19%), haploidentical (12%). 99% PBSC. ATG+PTCy used in 69 patients (43%), other GvHD prophylaxis (alemtuzumab+CsA, MMF+CsA, MTX+CsA, ATG+CsA+MTX, ATG 7.5 mg/kg) in 90 patients (57%). Related Princess Margaret group publications include Prem 2019, Deotare 2018, Law 2018, Salas 2019.",single_center,2014,2017,159,24,NR,"Possible patient overlap with Prem 2019 (Princess Margaret MUD/MMUD), Law 2018 (Princess Margaret haplo), Salas 2019 (Princess Margaret AML); all share institution and overlapping enrollment years."
1014,MDACC_Alousi_PTCy_RIC_PhaseII,"Single-center prospective phase II trial (NCT00800839) at MD Anderson Cancer Center of post-CY as sole GVHD prophylaxis after RIC Bu/Flu (Bu AUC 4000 micromolar-minute, Flu 40 mg/m2 x4 days, CY 50 mg/kg d+3/+4) for adults age 6 months-75 yrs with hematological malignancies and HLA-A/B/C/DR matched related or unrelated donors. MUD recipients initially received ATG (4 mg/kg d-3 to -1); protocol amended to remove ATG after 34th patient. Enrolled Nov 2008-Jul 2011 (N=49). Matched cohort analysis vs contemporaneous Tac/MTX controls (N=37 matched controls) drawn from MDACC departmental database, matched on age, diagnosis, disease status, donor type, graft source, ATG use; RIC consisted of Bu/Flu or Flu/Mel.",single_center,2008,2011,86,26,NA,No known overlap with other PTCy MA cohorts. Single-center MDACC phase II trial.
1015,Fortis_Arora_pediatric_benign,"Single-center retrospective cohort of 16 pediatric patients (median age 6 yrs, range 1-17) with benign hematological disorders (thalassemia n=10, severe aplastic anemia n=5, congenital dyserythropoietic anemia type II n=1) who underwent 10/10 HLA-matched related (n=2) or unrelated (n=14) HSCT using PBSC graft with PTCy + cyclosporine + MMF GVHD prophylaxis between March 2022-July 2024 at Fortis Memorial Research Institute, Gurugram, India.",single_center,2022,2024,16,32,NA,No known overlap with other cohorts; new single-center pediatric series.
1016,DRST_German_registry,"German Registry for Stem Cell Transplantation (DRST), a subset of the EBMT database for German patients. Adult patients receiving first allo-HSCT for malignant hematologic disease between 2010 and 2020. Compares haploidentical transplants with PT-CY (n=487) vs 10/10 MUD transplants with ATG-based GVHD prophylaxis (n=7050). Includes all hematologic malignancies (AML 41.9%, MDS/MPN 23.7%, NHL 9.4%, ALL 8.4%, MM 6.0%, SecAL, CLL, CML, AL, HL). Multi-center: 55 German transplant centers. Arslan 2023 (study 33) reports on related DRST cohort; partial cohort overlap likely.",national_registry,2010,2020,7537,35,NA,"Likely overlaps with Arslan 2023 (study 33), which uses the same DRST registry. The 2023 paper appears to be the precursor/sister analysis. May represent superset/overlap with study 33."
1017,USC_Norris_Ashouri,"Single-center retrospective cohort of 74 adult patients undergoing MSD or fully matched MUD (10/10) allo-HSCT at USC Norris Comprehensive Cancer Center between 2015 and 2023 (Methods state 2015-2022, abstract states 2015-2023). Patients receiving haploidentical or mismatched-unrelated (>=1 mismatch) transplants were excluded. Three GVHD prophylaxis groups: MTX/TAC (n=25), PTCy/MMF/TAC (n=40), and single-agent PTCy (n=9). MTX/TAC and PTCy/MMF/TAC cohorts received PBSC; PTCy-alone received BM.",single_center,2015,2023,74,37,NA,Single-center USC Norris cohort; no known overlap with other cohorts in the map.
1018,Aydin_single_center,"Single-center (now merged from 2 Amsterdam academic centers: AMC location A and VUMC location B) retrospective cohort of 185 consecutive adult patients with hematological malignancies who underwent 10/10 MUD non-myeloablative HSCT between January 2014 and December 2021. ATG group (n=95, treated at location A) received ATG rabbit 2 mg/kg days -8 to -5 + flu/TBI2Gy with ciclosporin + MMF prophylaxis. PTCy group (n=90, 86 at location B + 4 at location A) received cyclophosphamide 14.5 mg/kg days -6 and -5 + flu/TBI2Gy + PTCy 50 mg/kg days +3 and +4 + ciclosporin. Graft source PBSC in 99%. Likely shared cohort with Aydin 2022 (study_id 40) covering infections/viral reactivations in same Amsterdam MUD population.",single_center,2014,2021,185,39,Aydin 2023 primary for GvHD/survival/relapse/NRM; Aydin 2022 likely primary for infections/viral reactivations,Likely overlaps with Aydin 2022 (study_id 40) - same Amsterdam single-center MUD HSCT cohort
1019,Bailen_GETH_MUD_mMUD_multicenter,"Multicenter retrospective Spanish GETH (Grupo Español de Trasplante Hematopoyético y Terapia Celular) cohort of 132 consecutive adult patients undergoing MUD or 9/10 mMUD allogeneic HSCT for hematological malignancies across 4 centers: Hospital Gregorio Marañón Madrid (center A), Hospital Regional Universitario Málaga (center B), Institut Català d'Oncologia Badalona Barcelona (center C/D?), Hospital Universitario y Politécnico La Fe Valencia. 72 PTCy patients (transplanted 2013-2018 at 3 centers) and 60 ATG patients (transplanted 2010-2018 at 2 centers). May share patients with Bailen 2019 (study 42, Madrid single-center MUD/mMUD PTCy) and Bailen 2022 (study 44, GETH MUD AML PTCy vs haplo). Cohort overlap with the Kwon/Bailen Madrid group needs adjudication at consolidation.",multicenter_collaboration,2010,2018,132,43,NA,"Probable patient overlap with Bailen 2019 (study 42, Madrid Gregorio Marañón single-center MUD/mMUD PTCy series) and Bailen 2022 (study 44, GETH HLA-identical AML PTCy). Subagent proposal for Madrid_single_center label was rejected because paper is explicitly multicenter (4 GETH centers). Final cohort_id and overlap mapping to studies 42/44 to be resolved at consolidation."
1020,GETH_TC_Spanish_multicenter,"GETH-TC (Grupo Espanol de Trasplante Hematopoyetico y Terapia Celular) Spanish multicenter retrospective cohort of 229 adult patients undergoing first allo-HSCT for AML using PTCY with additional immunosuppression between 2013 and 2019. Two donor strata: MSD/MUD arm (n=99 from 3 centers; 38 MSD + 61 10/10 or 12/12 MUD) and haploidentical arm (n=130 from 20 centers). PBSC predominant (89%). Heterogeneous PTCy schedules and adjunct IS in MSD/MUD (PTCy+3+4/CNI/MMF, PTCy+3+5/CNI, PTCy+3+4/Sir/MMF). No patient received ATG.",multicenter_collaboration,2013,2019,229,44,NR,"GETH-TC Spanish multicenter group. Possibly overlapping with other GETH-TC publications (Bento 2025, Fox 2026, Martinez Munoz 2024); donor strata and disease focus differ."
1021,Hackensack_Baker_single_center,"Single-center retrospective cohort at John Theurer Cancer Center, Hackensack University Medical Center. 54 sequential adult haploidentical (HAPLO) BM/PBSC transplant recipients (Jul 7, 2011-Mar 25, 2014) with PTCy GVHD prophylaxis, vs 59 concurrently treated control URD (matched/mismatched) recipients (Sep 29, 2009-Apr 9, 2014) matched by diagnosis and stem cell source. Hematological malignancies only. URD recipients received CNI-based prophylaxis with ATG-containing conditioning in most patients.",single_center,2009,2014,113,45,NA,No known overlap with other identified cohorts.
1022,Mayo_Rochester_Baranwal,"Single-center retrospective cohort of 500 adults undergoing alloHCT at Mayo Clinic, Rochester between January 2018 and June 2023. Stratified by GVHD prophylaxis: PTCy (n=125) versus MTX-based (n=375). Donor types: MRD 34.8%, MUD 52.6%, HID 10.4%. Study focus: chimerism kinetics (CD3/CD33) and impact on RFS/OS.",single_center,2018,2023,500,48,NA,No known overlap with other cohorts in this MA
1023,Barkhordar_Tehran_single_center,"Single-center retrospective cohort of 248 patients with acute leukemia (AML/ALL) without matched sibling donors undergoing alternative-donor allogeneic HSCT at the Hematology, Oncology and Stem Cell Transplantation Research Center, Tehran University of Medical Sciences, between January 2010 and November 2019. Four arms: haploidentical (n=118, PTCy 40mg/kg +3,+4 plus pre-transplant ATG, CSA+MTX), 10/10 matched unrelated (n=91, ATG+CSA+MTX), 9/10 mismatched unrelated (n=21, ATG+CSA+MTX), 9/10 mismatched related (n=18, ATG+CSA+MTX). Myeloablative Bu/Cy conditioning in most patients. Likely overlaps with Barkhordar 2022 (study_ids 50, 51) which report subsets of the haplo and unrelated arms.",single_center,2010,2019,248,49,NR,"Likely shared cohort with Barkhordar 2022 (study_ids 50, 51) — same single Tehran center, overlapping enrollment window. To be reconciled by consolidator."
1024,EBMT_ALWP,"EBMT Acute Leukemia Working Party (ALWP) registry. Multiple publications by EBMT ALWP investigators report on subsets of this large multinational registry covering acute leukemia patients receiving allogeneic HCT. Different papers cover non-overlapping or partially overlapping donor strata (MMUD, MSD, MUD, UCB, haplo).",EBMT,2013,2021,479,52,Baron 2024 is primary for AML CR1 MMUD-PTCy vs dCBT comparison; other EBMT ALWP papers cover different donor strata/outcomes.,"First EBMT ALWP paper extracted in this batch; consolidator will assign final integer cohort_id >= 1010. Other EBMT ALWP papers (Battipaglia 2018/2019, Spyridonidis 2022, Nagler 2024, Paviglianiti 2022) may share registry but typically address non-overlapping donor strata or time windows."
1025,Northside_Atlanta_AML_MDS_age60plus,"Single-center retrospective cohort of 127 consecutive patients aged >=60 years undergoing first allogeneic HCT for AML or high-grade MDS at the Blood and Marrow Transplant Program at Northside Hospital, Atlanta GA, between August 2005 and December 2015. Three donor strata: MRD (n=37, Tac/MTX), MUD (n=57, Tac/MTX; 2 of 57 were 9/10 mismatched and received pre-transplant rabbit ATG 4.5 mg/kg), and HID/haploidentical with PTCy (n=33, PTCy 50 mg/kg D+3,4 + Tac + MMF). UCB excluded. T-cell replete grafts only. Same center/program reports prior publications across all ages and all malignancies (Bashey 2013 JCO; Bashey 2016 BBMT; Solh 2016 BMT) - this subset is AML/MDS aged >=60.",single_center,2005,2015,127,55,NA,"Same center as Bashey 2013 JCO (ref 12; all ages, all malignancies) and Bashey 2016 BBMT (ref 27) and Solh 2016 BMT (ref 21; post-relapse survival). The Bashey ZA 2018 publication is the index publication for the AML/MDS aged >=60 subset. Consolidator should assess overlap with any other Northside/Atlanta papers in the corpus."
1026,Turin_MMUD_Berger,"Two-center retrospective cohort of 79 adult patients undergoing first allogeneic HSCT from mismatched unrelated donors (MMUD) at two Turin Metropolitan Transplant Centers (Institute for Cancer Research and Treatment in Candiolo and Azienda Ospedaliera Universitaria Ospedale San Luigi, Orbassano) between 2011 and 2019. All received PBSC grafts. Two GVHD prophylaxis platforms stratified by center: ATG-Cy-A-MTX (rabbit thymoglobulin 7.5 mg/kg total + cyclosporine + methotrexate, n=39) at one center, vs PT-Cy-tacrolimus-MMF (PTCy 50 mg/kg d+3,+4 + tacrolimus + MMF, n=40) at the other. No DRB1 mismatches per center policy. Registered ClinicalTrials.gov NCT04598789.",single_center,2011,2019,79,65,NA,NA
1027,Austral_Argentina_Berro_UD,"Single-center retrospective cohort of 56 adult patients undergoing unrelated donor (UD) allogeneic HSCT for hematologic malignancies at Hospital Universitario Austral, Pilar, Argentina. Two arms: PTCy + tacrolimus + mycophenolate (n=28, transplanted 08/2015-12/2019) vs historical ATG + tacrolimus + methotrexate (n=28, transplanted 01/2012-07/2015). PTCy dose 50 mg/kg days +3 and +4; rabbit ATG dose varied 7.5-15 mg/kg. Second transplants excluded. 70% fully HLA matched (10/10), 80% MAC conditioning, 96% PBSC graft. Mean age 36.9 years (PTCy 40.7 vs ATG 33.1). Median follow-up 2.3 years.",single_center,2012,2019,56,66,NA,Single-center Argentine cohort; no known overlap with other PTCy MA papers.
1028,UMass_Chan_age70plus_alloSCT,"Single-institution retrospective cohort at UMass Chan Medical School, Worcester MA, of 61 adults aged >=70 years undergoing first allogeneic stem cell transplantation from related or unrelated adult donors between March 16, 2010 and March 20, 2023 (cord blood recipients excluded). Stratified by GvHD prophylaxis: PTCy (n=41, transplanted May 2014-Mar 2023) vs non-Cy (n=20, transplanted Mar 2010-Sep 2018; 18 ATG-based). PTCy group includes related haplo (n=12) and unrelated (n=29; 26 matched + 3 MMUD); non-Cy group 100% 10/10 HLA-matched unrelated. Same cohort as Bhatia 2024 ASCO abstract (study_id 68); 2026 Leukemia Research paper is the full publication.",single_center,2010,2023,61,67,NA,Overlaps fully with Bhatia 2024 ASCO abstract (study_id 68). Bhatia 2026 is the journal version; 2024 abstract reports slightly different N (42 PTCy vs 19 non-Cy in abstract vs 41 PTCy vs 20 non-Cy in journal) and somewhat different aGvHD/cGvHD numbers reflecting updated data lock and revised regimen classification.
1029,Marseille_IPC_Blaise_older_adults,"Single-center retrospective cohort at Institut Paoli Calmettes (IPC), Marseille, France of consecutive patients aged >55 years undergoing allo-HSCT for hematological malignancies between January 2011 and November 2013. Three arms: haplo-ID with PTCy (n=31, NMAC or RIC + PTCy 50 mg/kg D+3/+4 + CSA + MMF), MRD (n=47, Flu/Bu/ATG 2.5 mg/kg + CSA), and UD (n=63, including 13 with 1-antigen MMUD; Flu/Bu/ATG 2.5 mg/kg + CSA + MMF for MMUD). RIC was identical for MRD/UD; haplo received either NMAC (Cy/Flu/TBI 2 Gy, n=21) or RIC (Cy/Flu/Bu or Thio/Flu/Bu, n=10).",single_center,2011,2013,141,71,NR,Single-center IPC Marseille; no other papers in current batch from this exact cohort/age stratum. Possible overlap with later Devillier/Blaise IPC Marseille papers needs adjudication at consolidation.
1030,BMT_CTN_1203,"BMT CTN 1203: multicenter phase 2 RCT (NCT02208037) of three novel GVHD prophylaxis regimens (TAC/MMF/PTCy, TAC/MTX/bortezomib, TAC/MTX/maraviroc) randomized 1:1:1, each compared to a non-randomized contemporary CIBMTR-based TAC/MTX control cohort. Adult patients (age 18-75) receiving reduced-intensity conditioning allo-HCT for acute leukemia, CML, MDS, CLL/SLL, or chemosensitive lymphoma. HLA-matched related 6/6 or unrelated 7/8 or 8/8 donor. Enrolled Nov 2014-May 2016 (trial arms) and Aug 2014-Sep 2016 (controls). 31 US centers in trial + 32 US centers for controls. 273 trial subjects randomized (92 TAC/MMF/PTCy, 89 TAC/MTX/BOR, 92 TAC/MTX/MVC) + 224 contemporary TAC/MTX controls. Primary endpoint: GRFS (graft-versus-host disease relapse-free survival). TAC/MMF/PTCy arm was 'most promising' and led to BMT CTN 1703 phase 3 follow-on. Distinct from BMT CTN 1703 (cohort_id 1002).",multicenter_collaboration,2014,2016,497,72,NA,Phase 2 predecessor to BMT CTN 1703 (cohort 1002). No patient overlap with 1703 since 1203 enrolled 2014-2016 and 1703 enrolled 2019-2021.
1031,HOVON_96,HOVON-96 trial: Dutch/Belgian multicenter prospective randomized phase 3 trial of PT-Cy plus short-course cyclosporine A (PT-Cy/CsA) vs cyclosporine A plus mycophenolic acid (CsA/MPA) for GVHD prophylaxis after NMA matched (MRD or >=8/8 HLA MUD) peripheral blood alloHSCT. Adults age 18-70 with high-risk hematological malignancies. Enrolled at 6 centers between October 2013 and June 2018. 160 randomized 1:2 (CsA/MPA n=52 vs PT-Cy/CsA n=99 transplanted). All conditioning NMA per Seattle protocol (PT-Cy arm specified; CsA/MPA arm at physician discretion - 79% NMA Seattle). NL2128 in Dutch trial registry.,multicenter_collaboration,2013,2018,151,80,NA,First publication for HOVON-96 trial. No known overlap with other extracted cohorts.
1032,Gorbacheva_StPetersburg_nonmalignant_pediatric,"Single-center retrospective cohort of 97 pediatric and young adult patients (median age 3.6-6 yrs, range 9 mo to 27 yrs) with non-malignant blood disorders and inherited syndromes (hemoglobinopathies 10/97, bone marrow failure syndromes 44/97 [aplastic anemia, Fanconi anemia, Kostmann, Blackfan-Diamond, Shwachman-Diamond], metabolic diseases 35/97 [Hurler/MPS1, osteopetrosis, ALD, Krabbe, MLD, Farber], primary immunodeficiencies 10/97 [WAS, SCID, Chediak-Higashi]) undergoing 118 allogeneic HSCT at R. Gorbacheva Memorial Institute of Children Oncology, Hematology and Transplantation, First St. Petersburg State Pavlov Medical University, between 2005 and March 2018. 21 (18%) repeated transplants for initial graft failure or secondary rejection. Two GVHD prophylaxis arms: standard calcineurin inhibitor-based (n=89 HSCT) vs PTCy 50 mg/kg D+3 and D+4 (n=29 HSCT). Mixed donor types in both arms (MRD/MUD/MMUD/haplo). DIFFERENT cohort from 1007 (Pavlov_StPetersburg_RCT) which enrolled adults with AML/ALL 2013-2015. Same institution but distinct patient population.",single_center,2005,2018,97,83,NA,"Same institution as cohort 1007 (Moiseev 2016 RCT) but non-overlapping patient population: this cohort is pediatric/young adult non-malignant disorders (hemoglobinopathies, BM failure, metabolic, PID), enrolled 2005-2018, whereas cohort 1007 is adult AML/ALL RCT enrolled 2013-2015. Study 84 may be a near-duplicate paper from same group (per Block 2 assignment notes)."
1033,Miami_Sylvester_Camargo,"Single-center retrospective cohort at University of Miami Miller School of Medicine / Sylvester Comprehensive Cancer Center. 22 consecutive PTCy MMUD recipients transplanted between April 2017 and January 2019; ATG MMUD (n=37) and PTCy haploidentical (n=19) transplanted between January 2015 and July 2018 served as historical controls. Total N=78. Adults with hematologic malignancies (acute leukemia 56%, lymphoma 14%, MDS/MPN 19%, other 10%). Median age 55 yrs. CMV-focused outcome analysis. PTCy MMUD group received primarily BM grafts (91%) while ATG MMUD and PTCy haplo were primarily PBSC. Letermovir prophylaxis available from late 2017, initially in high-risk PTCy MMUD/haplo and ATG >=5 mg/kg.",single_center,2015,2019,78,86,NR,May overlap with study_id 85 (Camargo 2021 Lower Incidence of CMV Infection same group).
1034,Ningbo_People_Hospital_haplo_AML_MDS,"Single-center retrospective cohort of 80 patients with high-risk AML/MDS undergoing haploidentical allo-HSCT at The Affiliated People's Hospital of Ningbo University, China. Two arms with one-to-one matching: (i) modified ATG-PTCy group (n=40, enrolled Jan 2016-Dec 2020) receiving modified Flu/ATG conditioning (Flu 35 mg/m2 d-9 to -7, Ara-C 3 g/m2 d-9 to -7, Bu 3.2 mg/kg d-6 to -4, Cy 1.8 g/m2 d-5, semustine 250 mg/m2 d-3, ATG 7.5 mg/kg total d-5 to -2) with PTCy 50 mg/kg d+3 + CsA + MMF; PBSC only graft; (ii) ATG-only historical control (n=40, transplanted Jan 2014-Dec 2018) receiving Ara-C 4 g/m2 d-10 to -9, Bu 3.2 mg/kg d-8 to -6, Cy 1.8 g/m2 d-5 to -4, semustine 250 mg/m2 d-3, ATG 10 mg/kg total d-5 to -2, with CsA + MMF + short-course MTX; BM+PBSC graft.",single_center,2014,2020,80,88,NA,No known overlap with other cohorts in this MA. Single-center Chinese cohort (Ningbo).
1035,EBMT_CMWP_UD_MDS,"EBMT Chronic Malignancies Working Party (CMWP) registry retrospective study of 960 adult patients with myelodysplastic neoplasms (MDS) who underwent first allo-HSCT from MUD (10/10) or MMUD (<10/10) between 2012 and 2019 across 92 participating centers, receiving either PTCY-based (n=209) or ATG-based (n=751) GVHD prophylaxis. Excludes alternative donor types, alternative stem cell sources, and ex vivo T-cell depletion. Disease distribution: MDS-EB 53.5%, MDS without EB 24.7%, MDS-AML transformed 21.9%. ATG agents reported in 569/751 patients: Thymoglobulin 53.5% (median 5 mg/kg) and Grafalon 46.4% (median 30 mg/kg). NOTE: Prompt indicated cohort_id 1024 (EBMT_ALWP) but this is MDS (CMWP), not acute leukemia (ALWP); flagged for consolidator to assign distinct cohort ID.",EBMT,2012,2019,960,94,NA,"Distinct EBMT working party (CMWP, not ALWP) from cohort 1024 EBMT_ALWP. Same first author and similar EBMT registry but distinct MDS population. Chalandon 2023 ASH abstract (Blood 142 Supplement 1, 898-900) reports earlier interim analysis on 969 MDS patients (PTCY n=214, ATG n=755) - same cohort, conference abstract only. Chalandon 2024 ASH abstract (Blood 144 Supplement 1, 4894-4896) reports separate MF cohort, different disease."
1036,SanRaffaele_Milan_MAP_PTCy,"Single-center retrospective cohort of 473 consecutive adult allo-HSCT recipients who received primary mould-active prophylaxis with voriconazole (n=187) or posaconazole (n=286) at San Raffaele Hospital, Milan, Italy, from January 2015 to December 2022. Most patients (81.6%) received PT-Cy-based GVHD prophylaxis (additional 6.3% PT-Cy plus ATG); 2.1% ATG-only; 9.7% other (predominantly CBT or sirolimus/MMF without PT-Cy). Donor types: MRD 14.8%, MMRD 1.3%, MUD 33.0%, MMUD 12.9%, Haplo 30.7%, CBU 7.4%. Conditioning treosulfan-based throughout (MAC 55.8%, RTC 44.2%) with PT-Cy 50 mg/kg D+3/+4 + sirolimus +/- MMF (MMF for non-MRD only). Letermovir routine since March 2019. Risk stratified for IFI by GITMO-adapted criteria into high-risk (n=306) vs non-high-risk (n=167).",single_center,2015,2022,473,97,NA,Single-center Milan (San Raffaele). Greco/Oltolini group. Likely partial overlap with other San Raffaele publications using PT-Cy/sirolimus platform (Greco 2021 Transpl Cell Ther reference [27]). Distinct from any other established cohort; institution not previously represented in cohort map.
